x,y,z,altitude,latitude,longitude,date
24819,-526,-38148,0.0,42.224,-8.723,2024-06-24
24811,-526,-38135,0.7070707070707071,42.224,-8.723,2024-06-24
24803,-527,-38122,1.4141414141414141,42.224,-8.723,2024-06-24
24795,-527,-38109,2.121212121212121,42.224,-8.723,2024-06-24
24787,-527,-38095,2.8282828282828283,42.224,-8.723,2024-06-24
24779,-528,-38082,3.5353535353535355,42.224,-8.723,2024-06-24
24771,-528,-38069,4.242424242424242,42.224,-8.723,2024-06-24
24762,-529,-38056,4.94949494949495,42.224,-8.723,2024-06-24
24754,-529,-38043,5.656565656565657,42.224,-8.723,2024-06-24
24746,-529,-38030,6.363636363636363,42.224,-8.723,2024-06-24
24738,-530,-38016,7.070707070707071,42.224,-8.723,2024-06-24
24730,-530,-38003,7.777777777777778,42.224,-8.723,2024-06-24
24722,-531,-37990,8.484848484848484,42.224,-8.723,2024-06-24
24714,-531,-37977,9.191919191919192,42.224,-8.723,2024-06-24
24706,-531,-37964,9.8989898989899,42.224,-8.723,2024-06-24
24698,-532,-37951,10.606060606060606,42.224,-8.723,2024-06-24
24690,-532,-37938,11.313131313131313,42.224,-8.723,2024-06-24
24682,-533,-37924,12.02020202020202,42.224,-8.723,2024-06-24
24674,-533,-37911,12.727272727272727,42.224,-8.723,2024-06-24
24666,-533,-37898,13.434343434343434,42.224,-8.723,2024-06-24
24658,-534,-37885,14.141414141414142,42.224,-8.723,2024-06-24
24649,-534,-37872,14.848484848484848,42.224,-8.723,2024-06-24
24641,-535,-37859,15.555555555555555,42.224,-8.723,2024-06-24
24633,-535,-37846,16.262626262626263,42.224,-8.723,2024-06-24
24625,-535,-37833,16.96969696969697,42.224,-8.723,2024-06-24
24617,-536,-37820,17.67676767676768,42.224,-8.723,2024-06-24
24609,-536,-37807,18.383838383838384,42.224,-8.723,2024-06-24
24601,-537,-37794,19.09090909090909,42.224,-8.723,2024-06-24
24593,-537,-37781,19.7979797979798,42.224,-8.723,2024-06-24
24585,-537,-37768,20.505050505050505,42.224,-8.723,2024-06-24
24577,-538,-37755,21.21212121212121,42.224,-8.723,2024-06-24
24569,-538,-37742,21.91919191919192,42.224,-8.723,2024-06-24
24561,-539,-37729,22.626262626262626,42.224,-8.723,2024-06-24
24553,-539,-37716,23.333333333333332,42.224,-8.723,2024-06-24
24545,-539,-37703,24.04040404040404,42.224,-8.723,2024-06-24
24537,-540,-37690,24.747474747474747,42.224,-8.723,2024-06-24
24529,-540,-37677,25.454545454545453,42.224,-8.723,2024-06-24
24521,-541,-37664,26.161616161616163,42.224,-8.723,2024-06-24
24513,-541,-37651,26.86868686868687,42.224,-8.723,2024-06-24
24505,-541,-37638,27.575757575757574,42.224,-8.723,2024-06-24
24497,-542,-37625,28.282828282828284,42.224,-8.723,2024-06-24
24489,-542,-37612,28.98989898989899,42.224,-8.723,2024-06-24
24481,-543,-37599,29.696969696969695,42.224,-8.723,2024-06-24
24473,-543,-37586,30.404040404040405,42.224,-8.723,2024-06-24
24465,-543,-37573,31.11111111111111,42.224,-8.723,2024-06-24
24457,-544,-37560,31.818181818181817,42.224,-8.723,2024-06-24
24449,-544,-37547,32.525252525252526,42.224,-8.723,2024-06-24
24441,-545,-37534,33.23232323232323,42.224,-8.723,2024-06-24
24433,-545,-37521,33.93939393939394,42.224,-8.723,2024-06-24
24425,-545,-37508,34.64646464646464,42.224,-8.723,2024-06-24
24417,-546,-37495,35.35353535353536,42.224,-8.723,2024-06-24
24409,-546,-37482,36.06060606060606,42.224,-8.723,2024-06-24
24401,-546,-37469,36.76767676767677,42.224,-8.723,2024-06-24
24393,-547,-37457,37.474747474747474,42.224,-8.723,2024-06-24
24386,-547,-37444,38.18181818181818,42.224,-8.723,2024-06-24
24378,-548,-37431,38.888888888888886,42.224,-8.723,2024-06-24
24370,-548,-37418,39.5959595959596,42.224,-8.723,2024-06-24
24362,-548,-37405,40.303030303030305,42.224,-8.723,2024-06-24
24354,-549,-37392,41.01010101010101,42.224,-8.723,2024-06-24
24346,-549,-37379,41.717171717171716,42.224,-8.723,2024-06-24
24338,-549,-37366,42.42424242424242,42.224,-8.723,2024-06-24
24330,-550,-37354,43.13131313131313,42.224,-8.723,2024-06-24
24322,-550,-37341,43.83838383838384,42.224,-8.723,2024-06-24
24314,-551,-37328,44.54545454545455,42.224,-8.723,2024-06-24
24306,-551,-37315,45.25252525252525,42.224,-8.723,2024-06-24
24298,-551,-37302,45.95959595959596,42.224,-8.723,2024-06-24
24290,-552,-37290,46.666666666666664,42.224,-8.723,2024-06-24
24283,-552,-37277,47.37373737373738,42.224,-8.723,2024-06-24
24275,-553,-37264,48.08080808080808,42.224,-8.723,2024-06-24
24267,-553,-37251,48.78787878787879,42.224,-8.723,2024-06-24
24259,-553,-37238,49.494949494949495,42.224,-8.723,2024-06-24
24251,-554,-37226,50.2020202020202,42.224,-8.723,2024-06-24
24243,-554,-37213,50.90909090909091,42.224,-8.723,2024-06-24
24235,-554,-37200,51.61616161616162,42.224,-8.723,2024-06-24
24227,-555,-37187,52.323232323232325,42.224,-8.723,2024-06-24
24219,-555,-37175,53.03030303030303,42.224,-8.723,2024-06-24
24212,-556,-37162,53.73737373737374,42.224,-8.723,2024-06-24
24204,-556,-37149,54.44444444444444,42.224,-8.723,2024-06-24
